"temp","pop","plant","cat_id","date_hatch","date_4","delta_4","time_molt_4","mass_4","ln_4","date_5","delta_5","time_molt_5","mass_5","ln_5","date_w","delta_w","mass_w","ln_w","time_in_5"
"30","F","TB","F","17-Jul-08","22-Jul-08",5,"8:00 AM",198.92,5.29,"24-Jul-08",7,"9:00 AM",1292.47,7.16,"27-Jul-08",10,8916.84,9.095696903,3
"30","F","TB","G","17-Jul-08","21-Jul-08",4,"9:00 PM",251.13,5.53,"23-Jul-08",6,"9:00 PM",1022.31,6.93,"27-Jul-08",10,9045.23,9.109992826,4
"30","F","TB","H","17-Jul-08","22-Jul-08",5,"8:00 AM",209.37,5.34,"24-Jul-08",7,"9:00 AM",1273.19,7.15,"27-Jul-08",10,8715.1,9.072812432,3
"30","F","TB","I","17-Jul-08","22-Jul-08",5,"8:00 AM",342.85,5.84,"24-Jul-08",7,"9:00 AM",1415.22,7.26,"27-Jul-08",10,8456.41,9.042680013,3
"30","F","TB","J","17-Jul-08","22-Jul-08",5,"8:00 AM",289.76,5.67,"24-Jul-08",7,"9:00 AM",1531.33,7.33,"28-Jul-08",11,11419.24,9.343054931,4
"30","F","TB","K","17-Jul-08","22-Jul-08",5,"8:00 AM",219.47,5.39,"24-Jul-08",7,"3:00 PM",1179.25,7.07,"27-Jul-08",10,8894.01,9.093133295,3
"30","F","TB","L","17-Jul-08","22-Jul-08",5,"8:00 AM",392.91,5.97,"24-Jul-08",7,"9:00 AM",1133.12,7.03,"27-Jul-08",10,9677.32,9.177540282,3
"30","F","TB","M","17-Jul-08","22-Jul-08",5,"8:00 AM",242.11,5.49,"24-Jul-08",7,"9:00 AM",1578.88,7.36,"27-Jul-08",10,8948.24,9.099212144,3
"30","F","TB","N","17-Jul-08","21-Jul-08",4,"9:00 PM",178.33,5.18,"24-Jul-08",7,"10:00 AM",1026.58,6.93,"27-Jul-08",10,7968.76,8.983284176,3
"30","F","TB","O","17-Jul-08","22-Jul-08",5,"8:00 AM",236.42,5.47,"24-Jul-08",7,"10:00 AM",1429.84,7.27,"27-Jul-08",10,9600.52,9.169572543,3
"30","F","TB","P","17-Jul-08","22-Jul-08",5,"8:00 AM",218.4,5.39,"23-Jul-08",6,"10:00 PM",1167.95,7.06,"27-Jul-08",10,9055.87,9.111168445,4
"30","F","TB","Q","17-Jul-08","22-Jul-08",5,"8:00 AM",228.78,5.43,"24-Jul-08",7,"10:00 AM",1211.29,7.1,"27-Jul-08",10,9028.26,9.108114937,3
"30","F","TB","R","17-Jul-08","22-Jul-08",5,"8:00 AM",311.14,5.74,"24-Jul-08",7,"9:00 AM",1537.69,7.34,"27-Jul-08",10,11044.89,9.309723157,3
"30","F","TB","S","17-Jul-08","22-Jul-08",5,"9:00 AM",222.78,5.41,"25-Jul-08",8,"9:00 AM",1789.22,7.49,"29-Jul-08",12,10957.23,9.301754791,4
"30","F","TB","T","17-Jul-08","22-Jul-08",5,"8:00 AM",229.19,5.43,"24-Jul-08",7,"10:00 AM",1290.77,7.16,"28-Jul-08",11,10148.59,9.225090059,4
"20","L","DC","H","1-Aug-08","25-Aug-08",24,"8:00 PM",150.54,5.01,"4-Sep-08",34,NA,2289.65,7.74,"24-Sep-08",54,7762.53,8.957063591,20
"20","L","DC","K","1-Aug-08","20-Aug-08",19,"2:00 PM",204.16,5.32,"1-Sep-08",31,NA,2014.81,7.61,"21-Sep-08",51,8033.24,8.991343212,20
"20","L","DC","Q","1-Aug-08","25-Aug-08",24,"8:00 PM",256.84,5.55,"6-Sep-08",36,NA,2349.5,7.76,"24-Sep-08",54,8112.58,9.001171222,18
"20","L","DC","S","1-Aug-08","22-Aug-08",21,"9:00 PM",198.77,5.29,"2-Sep-08",32,NA,1939.25,7.57,"23-Sep-08",53,7664.8,8.944393698,21
"20","L","DC","BB","1-Aug-08","19-Aug-08",18,"10:00 PM",231.73,5.45,"30-Aug-08",29,NA,1648.37,7.41,"21-Sep-08",51,8247.31,9.017642366,22
"20","L","TB","A","1-Aug-08","14-Aug-08",13,"11:00 PM",347.93,5.85,"21-Aug-08",20,"9:00 PM",2198.29,7.7,"31-Aug-08",30,16007.85,9.680834506,10
"20","L","TB","B","1-Aug-08","17-Aug-08",16,"1:00 PM",197.68,5.29,"25-Aug-08",24,"8:00 PM",2361.84,7.77,"5-Sep-08",35,12027.55,9.394955131,11
"20","L","TB","C","1-Aug-08","16-Aug-08",15,"2:00 PM",250.81,5.52,"24-Aug-08",23,"9:00 AM",2847.05,7.95,"3-Sep-08",33,13001.1,9.472785402,10
"20","L","TB","D","1-Aug-08","18-Aug-08",17,"9:00 AM",300.67,5.71,"25-Aug-08",24,"1:00 PM",2022.38,7.61,"5-Sep-08",35,12893.78,9.464500304,11
"20","L","TB","E","1-Aug-08","19-Aug-08",18,"4:00 PM",259.28,5.56,"28-Aug-08",27,"11:00 AM",2947.26,7.99,"10-Sep-08",40,12074.97,9.398889994,13
"20","L","TB","F","1-Aug-08","19-Aug-08",18,"3:00 PM",229.12,5.43,"30-Aug-08",29,"10:00 AM",2142.7,7.67,"7-Sep-08",37,13101.14,9.480454528,8
"20","L","TB","G","1-Aug-08","17-Aug-08",16,"1:00 PM",364.26,5.9,"25-Aug-08",24,"11:00 AM",2059.01,7.63,"3-Sep-08",33,13927.17,9.541596887,9
"20","L","TB","H","1-Aug-08","18-Aug-08",17,"9:00 AM",211.47,5.35,"26-Aug-08",25,"10:00 AM",1638.41,7.4,"6-Sep-08",36,12035.79,9.39563999,11
"20","L","TB","I","1-Aug-08","14-Aug-08",13,"9:00 PM",267.98,5.59,"21-Aug-08",20,"9:00 PM",1866.15,7.53,"30-Aug-08",29,12743.46,9.452773478,9
"20","L","TB","J","1-Aug-08","15-Aug-08",14,"1:00 PM",341.33,5.83,"21-Aug-08",20,"10:00 PM",3857.03,8.26,"30-Aug-08",29,12695.89,9.449033598,9
"20","L","TB","K","1-Aug-08","14-Aug-08",13,"9:00 PM",313.26,5.75,"21-Aug-08",20,"4:00 PM",4556.25,8.42,"29-Aug-08",28,13670.8,9.523020376,8
"20","L","TB","L","1-Aug-08","16-Aug-08",15,"1:00 PM",460.03,6.13,"22-Aug-08",21,"9:00 PM",2986.38,8,"1-Sep-08",31,16201.82,9.692878861,10
"20","L","TB","M","1-Aug-08","16-Aug-08",15,"2:00 PM",448.76,6.11,"22-Aug-08",21,"9:00 PM",3628.71,8.2,"2-Sep-08",32,15583.14,9.65394484,11
"20","L","TB","N","1-Aug-08","18-Aug-08",17,"11:00 AM",275.13,5.62,"25-Aug-08",24,"10:00 AM",2175.88,7.69,"3-Sep-08",33,13790.5,9.531735228,9
"20","L","TB","O","1-Aug-08","18-Aug-08",17,"9:00 AM",266.04,5.58,"25-Aug-08",24,"9:00 PM",2739.26,7.92,"4-Sep-08",34,16214.9,9.693685852,10
"20","L","TB","P","1-Aug-08","17-Aug-08",16,"1:00 PM",422.69,6.05,"24-Aug-08",23,"9:00 AM",3162.84,8.06,"31-Aug-08",30,13486.97,9.509479313,7
"20","L","TB","Q","1-Aug-08","15-Aug-08",14,"1:00 PM",244.16,5.5,"21-Aug-08",20,"9:00 PM",1692.98,7.43,"30-Aug-08",29,12408.22,9.426114435,9
"20","L","TB","R","1-Aug-08","16-Aug-08",15,"2:00 PM",370.97,5.92,"23-Aug-08",22,"1:00 PM",2874.47,7.96,"1-Sep-08",31,13593.12,9.517319061,9
"20","L","TB","S","1-Aug-08","17-Aug-08",16,"1:00 PM",259.03,5.56,"24-Aug-08",23,"3:00 PM",3729.17,8.22,"2-Sep-08",32,11654.1,9.363413328,9
"20","L","TB","T","1-Aug-08","16-Aug-08",15,"1:00 PM",397.41,5.98,"22-Aug-08",21,"9:00 PM",3188.93,8.07,"30-Aug-08",29,12531.49,9.435999955,8
"25","L","DC","B","7-May-08","16-May-08",9,NA,327.59,5.79,"20-May-08",13,NA,1684.93,7.43,"30-May-08",23,10425.02,9.251963965,10
"25","L","DC","C","7-May-08","16-May-08",9,NA,314.41,5.75,"20-May-08",13,NA,1834.42,7.51,"29-May-08",22,10759.15,9.283511834,9
"25","L","DC","E","7-May-08","16-May-08",9,NA,268.78,5.59,"21-May-08",14,NA,1660.29,7.41,"28-May-08",21,10047.34,9.215063202,7
"25","L","DC","G","7-May-08","18-May-08",11,NA,296.93,5.69,"22-May-08",15,NA,1746.72,7.47,"30-May-08",23,10585.15,9.267207354,8
"25","L","DC","H","7-May-08","17-May-08",10,NA,444.62,6.1,"21-May-08",14,NA,1759.98,7.47,"30-May-08",23,11712.49,9.368411073,9
"25","L","DC","I","7-May-08","16-May-08",9,NA,353.89,5.87,"21-May-08",14,NA,1641.67,7.4,"27-May-08",20,8841.08,9.08716432,6
"25","L","DC","J","7-May-08","16-May-08",9,NA,282.57,5.64,"21-May-08",14,NA,1876.86,7.54,"29-May-08",22,9206.73,9.127690017,8
"25","L","DC","M","7-May-08","16-May-08",9,NA,393.37,5.97,"20-May-08",13,NA,1952.06,7.58,"28-May-08",21,10645.05,9.272850274,8
"25","L","DC","N","7-May-08","17-May-08",10,NA,243.5,5.5,"21-May-08",14,NA,1431.44,7.27,"30-May-08",23,8247.29,9.017639941,9
"25","L","DC","O","7-May-08","18-May-08",11,NA,279.55,5.63,"22-May-08",15,NA,1606.04,7.38,"3-Jun-08",27,7530.33,8.926694145,12
"25","L","DC","R","7-May-08","18-May-08",11,NA,209.64,5.35,"23-May-08",16,NA,1663.77,7.42,"31-May-08",24,10141.67,9.224407958,8
"25","L","DC","U","7-May-08","17-May-08",10,NA,330.42,5.8,"22-May-08",15,NA,2289.29,7.74,"31-May-08",24,11175.84,9.321509584,9
