ID,food,fate,date.max,mass.max,pop,para,HS,bin,date.death,survived,date.hatch,mass.hatch,date.3rd,mass.3rd,date.para,num.para,date.hs,date.4th,mass.4th,date.5th,mass.5th,date.6th,mass.6th,date.7th,mass.7th,date.w,mass.w,date.pupa,date.mass,mass.pupa,date.eclos,mass.eclos,sex,deformed,date.coc,date.remove,mass.remove,num.w.coc,num.w.larvae,wet,date.w.eclos,num.w.eclos,date.5th.2,mass.5th.2,date.5th.3,mass.5th.3,date.5th.4,mass.5th.4,date.6th.2,mass.6th.2,date.6th.3,mass.6th.3,date.6th.4,mass.6th.4,date.7th.2,mass.7th.2,,,date.out,mass.out,date.cull,notes
053,TB,wander,8/8/20,9500.2,Clayton,no,no,P,,yes,07/18/2020,1,07/26/2020,50.15,,,,07/29/2020,386.4,08/02/2020,1801.6,,,,,08/08/2020,9500.2,,08/31/2020,4347.36,09/06/2020,2123.13,f,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Found on the floor 8/8
054,TB,em,8/14/20,2345.98,Clayton,yes,yes,Q,,yes,07/19/2020,1,07/26/2020,76.39,07/26/2020,2,07/26/2020,07/30/2020,235,08/05/2020,1308.9,,,,,,,,,,,,,,08/10/2020,08/14/2020,2345.98,43,0,no,08/15/2020,42,,,,,,,,,,,,,,,,,,,,
055,DC,em,8/15/20,2085.5,Clayton,yes,no,K,,yes,07/15/2020,1,07/27/2020,37.03,07/27/2020,2,,07/31/2020,208.3,08/05/2020,804.1,,,,,,,,,,,,,,08/11/2020,08/15/2020,2085.5,91,17,no,08/16/2020,72,,,,,,,,,,,,,,,,,,,,
056,DC,wowe mongo,8/25/20,13390.5,Clayton,yes,yes,L,,yes,07/18/2020,1,07/27/2020,20.74,07/27/2020,2,07/27/2020,07/31/2020,133.6,08/03/2020,500.7,,,,,,,,,,,,,,,,,,,,,,08/11/2020,5782.8,08/18/2020,12788.6,08/25/20,13390.5,,,,,,,,,,,08/29/2020,12599,,ate some of 139 08/10 - swiched to TB at some point before 8/14
057,DC,em,8/11/20,1233.53,Clayton,yes,no,L,,yes,07/18/2020,1,07/27/2020,26.27,07/27/2020,1,,07/30/2020,113.7,08/02/2020,428,,,,,,,,,,,,,,08/07/2020,08/11/2020,1233.53,70,0,no,08/12/2020,70,,,,,,,,,,,,,,,,,,,,
058,DC,wander,8/13/20,9385.4,Clayton,no,yes,M,,yes,07/20/2020,1,07/27/2020,63.94,,,07/27/2020,07/30/2020,274.2,08/04/2020,2098,,,,,08/13/2020,9385.4,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059,DC,wander,8/10/20,8285.3,Clayton,no,no,M,,yes,07/20/2020,1,07/27/2020,68.75,,,,07/29/2020,191.3,08/03/2020,1701.2,,,,,08/10/2020,8285.3,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060,TB,dead,,,Clayton,yes,no,Q,07/29/2020,no,07/21/2020,1,07/27/2020,113.65,07/27/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061,TB,dead,,,Clayton,yes,yes,R,07/29/2020,no,07/21/2020,1,07/27/2020,71.66,07/27/2020,2,07/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062,TB,dead,,,Clayton,yes,no,R,,yes,07/21/2020,1,07/27/2020,86.68,07/27/2020,4,,07/29/2020,182.5,08/03/2020,1711.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 8/6
